id,title,category,subcategory,source_type,health,item_count,last_success,url,rss_url,atom_url,json_url,ics_url
sos-annual-report,Maine Annual Report Filing Notices,Maine Secretary of State,Annual report notices,page_monitor,ok,1,2026-09-02T21:00:33.574743+00:00,https://www.maine.gov/sos/corporations-commissions/filing-an-annual-report,https://bedardandy.github.io/maine-government-feeds/feeds/rss/sos-annual-report.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/sos-annual-report.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/sos-annual-report.json,https://bedardandy.github.io/maine-government-feeds/calendar/sos-annual-report.ics
ag-opinions,Maine Attorney General Opinions,Maine Attorney General,Opinions,page_monitor,ok,1,2026-09-02T21:00:35.650351+00:00,https://www.maine.gov/legis/lawlib/lldl/agops/agops.htm,https://bedardandy.github.io/maine-government-feeds/feeds/rss/ag-opinions.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/ag-opinions.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/ag-opinions.json,https://bedardandy.github.io/maine-government-feeds/calendar/ag-opinions.ics
ag-press-releases,Maine Attorney General Press Releases,Maine Attorney General,Press releases,native_rss,ok,15,2026-09-02T21:00:37.866745+00:00,https://www.maine.gov/ag/news-and-library/press-releases,https://bedardandy.github.io/maine-government-feeds/feeds/rss/ag-press-releases.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/ag-press-releases.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/ag-press-releases.json,https://bedardandy.github.io/maine-government-feeds/calendar/ag-press-releases.ics
ag-consumer-protection,Maine AG Consumer Protection Scam Notices and Alerts,Maine Attorney General,Consumer protection alerts,html,ok,3,2026-09-02T21:00:40.076972+00:00,https://www.maine.gov/ag/news-and-library/consumer-scam-notices-and-alerts,https://bedardandy.github.io/maine-government-feeds/feeds/rss/ag-consumer-protection.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/ag-consumer-protection.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/ag-consumer-protection.json,https://bedardandy.github.io/maine-government-feeds/calendar/ag-consumer-protection.ics
gov-executive-orders,Governor of Maine — Official Documents (Executive Orders),Governor / Executive Branch,Executive orders,native_rss,ok,26,2026-09-02T21:00:42.003927+00:00,https://www.maine.gov/governor/mills/official_documents,https://bedardandy.github.io/maine-government-feeds/feeds/rss/gov-executive-orders.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/gov-executive-orders.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/gov-executive-orders.json,https://bedardandy.github.io/maine-government-feeds/calendar/gov-executive-orders.ics
gov-press-releases,Governor of Maine — Newsroom Press Releases,Governor / Executive Branch,Press releases,native_rss,ok,12,2026-09-02T21:00:44.420924+00:00,https://www.maine.gov/governor/mills/newsroom,https://bedardandy.github.io/maine-government-feeds/feeds/rss/gov-press-releases.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/gov-press-releases.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/gov-press-releases.json,https://bedardandy.github.io/maine-government-feeds/calendar/gov-press-releases.ics
gov-boards-commissions,Governor of Maine — Boards and Commissions Nominees,Governor / Executive Branch,Boards and commissions notices,html,ok,35,2026-09-02T21:00:46.652480+00:00,https://www.maine.gov/governor/mills/about/boards-commissions-nominees,https://bedardandy.github.io/maine-government-feeds/feeds/rss/gov-boards-commissions.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/gov-boards-commissions.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/gov-boards-commissions.json,https://bedardandy.github.io/maine-government-feeds/calendar/gov-boards-commissions.ics
mrs-tax-alerts,Maine Revenue Services Tax Alerts,Maine Revenue Services,Tax alerts,page_monitor,ok,5,2026-09-02T21:00:48.912622+00:00,https://www.maine.gov/revenue/publications/maine-tax-alerts,https://bedardandy.github.io/maine-government-feeds/feeds/rss/mrs-tax-alerts.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/mrs-tax-alerts.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/mrs-tax-alerts.json,https://bedardandy.github.io/maine-government-feeds/calendar/mrs-tax-alerts.ics
mrs-tax-forms,Maine Revenue Services Tax Return Forms,Maine Revenue Services,Forms updates,page_monitor,ok,1,2026-09-02T21:00:51.274622+00:00,https://www.maine.gov/revenue/tax-return-forms,https://bedardandy.github.io/maine-government-feeds/feeds/rss/mrs-tax-forms.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/mrs-tax-forms.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/mrs-tax-forms.json,https://bedardandy.github.io/maine-government-feeds/calendar/mrs-tax-forms.ics
mrs-rules-bulletins,Maine Revenue Services Rules and Rulemaking,Maine Revenue Services,Rules/bulletins,html,ok,49,2026-09-02T21:00:54.089408+00:00,https://www.maine.gov/revenue/publications/rules,https://bedardandy.github.io/maine-government-feeds/feeds/rss/mrs-rules-bulletins.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/mrs-rules-bulletins.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/mrs-rules-bulletins.json,https://bedardandy.github.io/maine-government-feeds/calendar/mrs-rules-bulletins.ics
